NAME,SRR13308392,SRR13308380,SRR13308381,SRR13308382,SRR13308383
STRADB,6.54536285236423,6.90160881922963,6.82805753081363,6.48567876456796,6.21291045289351
TRAK2,8.9340962886435,8.96332797809761,8.44430658614631,8.76262251687402,7.75085665139764
FDX1,11.9246021847849,12.652981457353,12.8228575809992,12.166420111768,12.4203845912081
NBEAL1,9.04021069563593,9.28191059492033,9.48099840795055,9.33834672530963,8.78157354369571
ZRANB3,5.5463921140168,5.91362519127928,6.04997360182406,6.36279878510788,5.96862506652364
MGAT5,7.40089170292439,7.26662307121352,6.77358410116441,7.21092217069836,7.54807731385394
ENPP4,8.21368359892585,7.81821864606352,7.79459467058985,8.25293673610685,7.9286149306861
STEAP3,7.81976561091696,8.05447431231375,8.36362551868822,7.69695952988496,8.12715948627471
NEK10,4.36458417294341,4.18670156403668,5.2417608526288,4.46843197265415,0
MIOS,8.55178464403469,8.71680531945463,8.91917022132629,9.14472548370718,8.90261543130067
ICA1,4.54844843702003,4.63827798267419,4.97832595284181,4.57068470680542,0
THSD7A,0,0,3.97592065158019,3.05604387032495,0
DGKB,3.71517262394135,2.53124538451017,2.6467524977861,2.08812476494007,0
AGMO,6.48651206387667,6.50584725773707,7.52463639952726,6.92269933222766,7.04383962526062
ISPD,6.18719926037601,6.50584725773707,6.67300725458677,6.96086051351014,6.52592739493009
SOSTDC1,5.32913562899381,4.93736178310528,4.71481080746353,3.88955036417179,4.93205067708742
ANKMY2,7.46326415361852,7.7684754480126,7.41324227453972,7.57923369553096,7.74223213808671
HERPUD2,10.2111705765282,10.3212070698163,10.1465723550986,9.93520053511883,10.0324733629022
TBX20,6.42515814881565,5.36309816123846,6.07271154430011,6.59890909972899,6.08232906289526
DPY19L1,10.4570511364371,10.7199675706253,10.7768318645518,10.3088482814073,10.3727546863711
CSPG5,5.7351732053199,5.81905947985371,5.07158555549467,4.17574330881488,3.65011518745937
ELP6,7.14908189156195,7.94117723695079,7.65088858031944,6.72622361189923,7.12569422924141
SCAP,8.42431858528246,8.73634348268846,8.64350283242326,8.22184548256482,8.07316488710611
GOLM1,11.2536628780797,11.46034901075,11.5731594244291,11.2264492013235,11.4766392192347
NAA35,8.42823287665161,8.47850443937241,8.32626607136543,8.03325239536676,7.9286149306861
AGTPBP1,7.10084976878622,7.74937049432401,7.46572556762424,6.98883323919479,6.78299030572124
HNRNPK,9.05294258039726,9.03607808611996,9.40015402090646,9.35276964872528,9.51469738832497
RMI1,8.15347988335383,8.1302779091426,8.21313274007339,7.87737879598593,7.73355575671727
CUNH9ORF64,7.40089170292439,7.97993998064228,7.71733290479585,7.74695588475499,7.89788199134148
GKAP1,7.36866422547101,7.30201844549867,7.00398387996435,7.32504067852981,7.2646692419592
