Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
adprhl1,7.575597329,6.181470864,2.008355054,3.077877515,0.002084806,0.254094537
LOC109633033,179.6357325,2.970007952,0.965743609,3.075358639,0.002102496,0.254094537
LOC109623601,7.536187563,6.169532811,2.006872652,3.074202444,0.002110662,0.254094537
LOC109631400,797.021588,1.154810585,0.376106383,3.07043602,0.002137465,0.2555588
LOC109641491,266.7349563,1.967751779,0.643278959,3.058940062,0.002221216,0.263765605
tmem45a,43.92128902,2.531629171,0.830755832,3.047380559,0.002308452,0.272272611
LOC109628860,104.9521116,-1.26410198,0.417129532,-3.030478266,0.002441668,0.28605201
LOC109646299,336.0964179,5.542403983,1.831357656,3.026390811,0.002474922,0.288014911
LOC109624408,166.8521875,1.640299494,0.542875962,3.021499586,0.00251526,0.290770701
slc25a20,43.22074462,2.57520251,0.853309767,3.017898787,0.002545339,0.292312089
LOC109625463,550.408442,1.70380571,0.565973759,3.010397007,0.002609064,0.295739117
LOC109628425,17.37335429,7.380230697,2.45136233,3.01066497,0.002606763,0.295739117
eif2ak3,1657.937944,2.130026815,0.709942226,3.000281905,0.002697298,0.303768005
aptx,247.3154723,2.293633287,0.766476884,2.992436345,0.002767604,0.309687765
atp10a,146.9766434,1.374797526,0.460301334,2.986733746,0.002819752,0.312383023
ddit4,5487.396177,3.599947515,1.206430174,2.983966741,0.002845377,0.312383023
LOC109637812,3390.029709,-0.596121972,0.199745712,-2.984404354,0.00284131,0.312383023
cunh3orf52,403.283736,1.141700157,0.383517569,2.976917486,0.002911624,0.317658136
LOC109646571,6.629147662,-6.448106317,2.172673511,-2.967821112,0.002999188,0.325179069
cacnb1,17.19728623,-3.654941602,1.234396172,-2.960914563,0.00306727,0.330507823
LOC109640081,108.6234244,1.706929554,0.577677354,2.954814729,0.003128569,0.335044752
LOC109634208,6.904680374,6.042873761,2.060027256,2.933395052,0.00335277,0.354702727
LOC109642053,541.4523045,5.60823254,1.911425363,2.934057824,0.003345619,0.354702727
LOC109627701,1983.195867,-1.356515497,0.462828868,-2.930922403,0.003379572,0.355384378
LOC109633448,132.2238832,1.609990983,0.549869355,2.927951829,0.003412029,0.356648975
LOC109635887,1422.447456,2.262736801,0.776821463,2.912814473,0.003581873,0.358618951
LOC109624653,430.5261138,2.023319373,0.693939189,2.915701267,0.003548901,0.358618951
LOC109626036,198.140119,2.077551814,0.712689228,2.915087998,0.003555883,0.358618951
LOC109633328,405.883105,1.797951413,0.617657016,2.910922026,0.003603639,0.358618951
LOC109637834,1842.566231,1.490871222,0.511954467,2.912116835,0.003589883,0.358618951
LOC109639660,253.9412859,1.459863687,0.501693513,2.909871563,0.003615773,0.358618951
atxn7l2,150.6114123,1.500856835,0.513823951,2.920955382,0.003489598,0.358618951
LOC109642194,7827.966281,0.621827795,0.213092824,2.918107627,0.003521628,0.358618951
LOC109644612,7.457616714,6.157750964,2.106596494,2.92308042,0.00346587,0.358618951
LOC109644006,650.587495,1.138518847,0.391656088,2.906935146,0.003649889,0.359957375
ifrd1,2775.365893,1.985777882,0.687097048,2.890098113,0.003851216,0.377678809
LOC109629357,1394.117032,1.605382671,0.55611965,2.886757681,0.003892339,0.378289251
pea15,6.639146799,5.999183905,2.078664757,2.88607573,0.003900783,0.378289251
kiaa1024,6.640790785,5.999790405,2.080264365,2.884148047,0.003924742,0.378509919
LOC109633964,77.44257324,-1.322488139,0.459080906,-2.880730001,0.003967554,0.380531512
plbd1,467.795032,0.762676333,0.264909567,2.879006381,0.003989303,0.380531512
p4ha1,922.2621098,2.254646556,0.784100728,2.875455251,0.004034453,0.382746829
LOC109626040,259.8877363,0.957985222,0.334196858,2.866529713,0.004149992,0.391579785
LOC109630308,42.66797496,2.121472529,0.743053001,2.85507565,0.004302658,0.396519921
pkib,6.202822268,5.892239496,2.065249963,2.853039391,0.004330325,0.396519921
LOC109632540,37522.36328,6.360200203,2.227910568,2.854782545,0.004306631,0.396519921
LOC109635972,6.852295335,-6.495704528,2.274162533,-2.856306193,0.004286016,0.396519921
aaed1,75.94336545,1.445201996,0.506290099,2.854493893,0.004310546,0.396519921
bcl2l14,433.0540783,2.393665703,0.83916728,2.852429736,0.00433864,0.396519921
fbxo31,676.9623512,0.767612939,0.26996611,2.843367777,0.004463953,0.403744862
LOC109644535,652.1528006,1.182589242,0.41586109,2.843712169,0.004459131,0.403744862
LOC109632134,14.63493047,7.131219337,2.514060085,2.836534966,0.004560598,0.40512157
gls2,4326.228109,-1.013694636,0.357471305,-2.835737081,0.004572007,0.40512157
LOC109645490,604.0017091,-0.922203885,0.324898532,-2.838436598,0.004533512,0.40512157
LOC109644179,8.489300144,6.35694764,2.240848231,2.836848811,0.004556118,0.40512157
LOC109623951,156.8411893,2.183932296,0.771908384,2.829263605,0.004665525,0.406017117
rnf208,38.67941908,3.693844328,1.305889537,2.828603969,0.004675151,0.406017117
LOC109627060,1190.964261,-0.783879726,0.2771203,-2.82866223,0.0046743,0.406017117
colgalt1,415.4506509,2.513812871,0.887733187,2.831721184,0.00462982,0.406017117
LOC109628828,79.85426059,2.765888114,0.980633382,2.820511891,0.00479471,0.406293454
LOC109630860,67.17445948,1.271604976,0.450593725,2.822065435,0.004771544,0.406293454
LOC109631494,571.6870061,1.62481769,0.575957781,2.821070819,0.004786364,0.406293454
LOC109636579,363.4630145,1.080052465,0.382636153,2.822661836,0.004762678,0.406293454
LOC109643978,6.136034501,5.874604173,2.079136564,2.825501833,0.004720662,0.406293454
dnmt1,174.3939116,-1.18132512,0.419683583,-2.814799454,0.004880768,0.407135128
LOC109639757,13577.06544,1.117420796,0.39697738,2.81482234,0.004880421,0.407135128
LOC109643389,1880.644794,-1.247099025,0.44309695,-2.814506,0.004885227,0.407135128
cnga3,6.040224748,5.853174088,2.080262608,2.813670768,0.004897936,0.407135128
LOC109644182,6.028103538,-6.311214639,2.249364454,-2.805776817,0.005019545,0.41526621
foxn2,1015.308775,0.908007659,0.324390657,2.79911779,0.005124244,0.416040954
LOC109636119,159.1639801,1.086140749,0.387776765,2.800943344,0.005095346,0.416040954
rbm12,68.92048231,-1.519692514,0.542839443,-2.799524857,0.005117788,0.416040954
otx1,16.43750711,7.296732163,2.602673798,2.803552319,0.005054303,0.416040954
sertad2,111.0254717,1.95331867,0.698788396,2.795293513,0.005185261,0.417114855
skil,237.5326753,1.330692017,0.475793957,2.796782089,0.005161433,0.417114855
blm,205.6932158,-1.281609023,0.460780813,-2.781385392,0.005412744,0.418074587
rhof,208.2418446,-1.103100314,0.396580241,-2.781531202,0.005410313,0.418074587
dnal1,6.498995321,5.963764707,2.141063847,2.785421235,0.005345823,0.418074587
LOC109628005,1413.355664,-0.933876248,0.335387258,-2.784471463,0.005361504,0.418074587
lmtk3,5.853537201,5.811694524,2.083825592,2.788954386,0.005287851,0.418074587
piwil1,6.469838956,-6.412850351,2.303770109,-2.783632935,0.005375383,0.418074587
LOC109639926,39.40907394,2.497449484,0.895269345,2.789606836,0.005277208,0.418074587
LOC109641043,1231.861438,1.339738251,0.480664302,2.78726389,0.005315517,0.418074587
LOC109647423,14.8320323,7.149100168,2.566453535,2.785595013,0.005342958,0.418074587
LOC109625324,168.8349636,1.437855285,0.519639427,2.767025001,0.005657042,0.425011781
LOC109624980,425.8618524,-0.796190037,0.287943265,-2.765093453,0.005690649,0.425011781
hnf1b,1414.103732,1.606355818,0.579163702,2.7735782,0.005544351,0.425011781
lysmd3,559.4626845,2.004046099,0.724218039,2.767186111,0.005654247,0.425011781
LOC109633661,71.35049994,1.223104882,0.442398954,2.764710158,0.005697339,0.425011781
LOC109636427,725.0437639,1.806504182,0.653171704,2.765741643,0.005679351,0.425011781
LOC109640815,36585.71387,0.979866135,0.353533661,2.771634622,0.00557756,0.425011781
LOC109641878,2038.500057,1.98397675,0.715553,2.772648218,0.005560219,0.425011781
LOC109637872,352.9851101,1.837898235,0.665881941,2.76009623,0.005778434,0.425373115
setbp1,242.8881593,0.789816948,0.286279824,2.758898398,0.005799656,0.425373115
ppp1r10,1192.582358,1.679945209,0.608648395,2.760124276,0.005777938,0.425373115
LOC109646774,28.38797971,3.085873138,1.117474862,2.761469848,0.005754183,0.425373115
LOC109624951,324.4233299,1.842364874,0.668169172,2.757332951,0.005827498,0.425626804
LOC109643098,225.4726142,1.480274065,0.537144494,2.755820977,0.005854503,0.425817523
mtf2,219.9331698,-1.18773281,0.432798668,-2.744307912,0.006063863,0.435599976
nufip2,231.3255407,2.323792443,0.846562645,2.744973992,0.006051569,0.435599976
lurap1l,1045.82737,3.864409724,1.407090536,2.746383141,0.006025635,0.435599976
LOC109633898,133.7529914,-1.073028042,0.392130793,-2.736403416,0.006211483,0.443778992
LOC109645800,5.894590954,5.827633963,2.130372811,2.735499596,0.006228566,0.443778992
LOC109628952,136.5126526,-0.9405635,0.344697211,-2.728665824,0.006359111,0.445893814
LOC109639985,322.4014611,1.990377489,0.729187693,2.729581844,0.006341471,0.445893814
LOC109640934,5313.911001,-0.731761965,0.268124961,-2.729182552,0.006349155,0.445893814
LOC109643278,66.5566852,-1.415485093,0.518759169,-2.728597736,0.006360424,0.445893814
LOC109628481,14.08747645,7.0744776,2.597756357,2.723302969,0.006463276,0.449493778
LOC109637361,47.79126232,2.806650802,1.030602297,2.723311223,0.006463114,0.449493778
LOC109626490,5.528342162,5.727756362,2.116309564,2.706483238,0.006800002,0.452494226
LOC109627565,1848.900923,-0.953139401,0.351523376,-2.711453822,0.006698887,0.452494226
atf2,345.1635547,1.698573206,0.627472732,2.707007206,0.006789278,0.452494226
LOC109632287,204.5068467,-1.289903574,0.47454121,-2.718211921,0.006563578,0.452494226
specc1l,350.5858894,1.010135093,0.371870518,2.716362399,0.006600363,0.452494226
msantd1,14.81506857,7.146840883,2.639603507,2.707543335,0.006778322,0.452494226
arf4,5.665205667,5.768102991,2.125170403,2.714183758,0.00664393,0.452494226
LOC109638653,85.97964111,1.25641139,0.462755232,2.715066852,0.006626239,0.452494226
slc15a1,12.8890555,6.947440263,2.560710463,2.713090903,0.006665882,0.452494226
coq10b,1805.607561,2.130932357,0.787591748,2.70563063,0.006817483,0.452494226
