Gene,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean
LOC109647914,1.019748562,0.410461951,2.484392425,0.012977271,0.59533231,140.9049421
pfkfb3,4.070679053,1.641479633,2.479883984,0.013142514,0.597170788,905.449967
rgs3,1.128899452,0.455217381,2.479912893,0.013141448,0.597170788,558.4045041
sf3a3,-0.868857693,0.350964375,-2.47562931,0.013300159,0.601469745,147.3291727
LOC109633012,1.051713329,0.426773389,2.46433671,0.013726709,0.609210514,119.3726352
LOC109644737,1.201175495,0.486965936,2.46665199,0.013638283,0.609210514,164.5757871
LOC109645360,0.856085551,0.347244227,2.465370146,0.013687178,0.609210514,129.7189902
tsn,-0.900321731,0.365186441,-2.465375575,0.01368697,0.609210514,100.4684364
LOC109632287,-1.134996972,0.46244219,-2.454354287,0.014113785,0.622035728,90.03830669
LOC109642194,0.636078232,0.259249944,2.453532767,0.014146065,0.622035728,3390.759048
LOC109632111,1.787970828,0.729947206,2.449452252,0.014307368,0.626242677,230.3684025
LOC109632735,1.300424226,0.531518172,2.446622327,0.014420185,0.628298673,602.0242217
hnf4a,-0.813357981,0.33372173,-2.437234101,0.014800094,0.64192046,484.5793955
LOC109638975,2.999599543,1.234556533,2.429698004,0.015111408,0.652457275,444.4629322
LOC109624538,1.151442876,0.475269543,2.422715474,0.015404987,0.656892051,333.0923001
LOC109643406,-0.929864609,0.383578712,-2.424182001,0.015342914,0.656892051,156.4097099
atf2,1.569736969,0.648023352,2.422346298,0.015420648,0.656892051,153.4236074
LOC109624982,-0.874419577,0.365912836,-2.389693638,0.016862432,0.661218625,206.7555939
LOC109627067,2.637085764,1.093579717,2.411425269,0.015890308,0.661218625,3396.986615
LOC109627646,-0.995504122,0.415984524,-2.393127782,0.016705422,0.661218625,494.8169525
LOC109628030,-1.138702402,0.477004086,-2.387196326,0.016977422,0.661218625,89.43246749
LOC109633109,-1.300262869,0.54233141,-2.397542987,0.016505444,0.661218625,134.3771155
LOC109638614,1.102687777,0.458806981,2.403380555,0.016244273,0.661218625,496.318874
LOC109639241,1.58297744,0.661585318,2.392703399,0.016724755,0.661218625,146.150996
LOC109639978,0.770076773,0.319265153,2.41202889,0.015864024,0.661218625,1980.769089
LOC109640123,1.421450518,0.591026478,2.405053871,0.016170082,0.661218625,90.11605057
LOC109640934,-0.737153031,0.308082396,-2.392713897,0.016724277,0.661218625,2332.042067
LOC109642569,0.955700869,0.397947158,2.401577322,0.016324559,0.661218625,146.115066
LOC109645827,0.961864344,0.40250327,2.389705663,0.01686188,0.661218625,79.91819981
LOC109646356,1.413199881,0.589677418,2.396564356,0.016549587,0.661218625,345.8733308
LOC109646391,-0.767926963,0.31872205,-2.409393904,0.015979041,0.661218625,186.6685973
cnst,-1.087687497,0.452451443,-2.403987245,0.016217339,0.661218625,69.45276548
creb3l2,1.228800325,0.514535822,2.388172548,0.01693239,0.661218625,247.6813313
csnk1d,0.928686931,0.386939589,2.400082486,0.016391378,0.661218625,676.4848557
dgcr8,-1.084296814,0.449443866,-2.412530008,0.015842233,0.661218625,219.7552109
dhodh,-1.009654807,0.418023841,-2.41530436,0.015722066,0.661218625,77.10128466
dnmt1,-1.396475807,0.577600049,-2.417721069,0.015618044,0.661218625,80.14415637
fam13b,1.624972999,0.676623381,2.401591558,0.016323923,0.661218625,454.2096527
LOC109627565,-0.905401883,0.37953371,-2.385563809,0.017052964,0.661460895,764.5745864
LOC109628858,4.7298485,1.986184158,2.381374598,0.017248162,0.662318342,169.5003132
LOC109634601,0.937456264,0.393963502,2.379551048,0.017333742,0.662318342,404.8807312
dst,1.131751132,0.475575315,2.379751631,0.01732431,0.662318342,216.5867361
kif1b,0.965155777,0.405672882,2.379147883,0.017352713,0.662318342,177.883966
fam134c,-1.057003318,0.444728178,-2.376740153,0.017466387,0.663172354,361.0427386
ppm1d,0.904283038,0.380633134,2.375733892,0.017514089,0.663172354,79.00745613
irak1,0.686229617,0.289125065,2.373469822,0.017621833,0.664614745,303.0641652
LOC109640997,1.214333573,0.512081434,2.371368092,0.017722371,0.66577507,65.26296013
LOC109639306,3.041963669,1.284875547,2.367516197,0.017907936,0.667151276,597.9826378
LOC109643580,1.130748322,0.477862829,2.366261308,0.017968757,0.667151276,1392.167731
sfrp5,1.293150756,0.546011858,2.368356541,0.017867308,0.667151276,131.5339239
LOC109640645,1.052012079,0.445189341,2.363066639,0.01812441,0.67032218,991.2872427
KEF66_t10,-0.75399539,0.319618574,-2.359047472,0.018321912,0.672414163,299.0180903
nt5e,1.019388074,0.432044451,2.35945184,0.018301956,0.672414163,82.39716657
LOC109630392,1.742824736,0.740336925,2.354096734,0.018567778,0.678826596,500.4251587
LOC109639135,-1.070610804,0.456220466,-2.346696132,0.018940695,0.688762513,71.7753128
tat,1.290543094,0.550139587,2.345846626,0.018983918,0.688762513,15770.44373
miga2,1.683361984,0.72045541,2.336524871,0.019463903,0.703502128,245.5663853
LOC109632590,1.260202548,0.540442286,2.331798568,0.01971129,0.707086967,6210.401913
sart1,-0.989379977,0.424176887,-2.332470266,0.019675965,0.707086967,530.2744498
LOC109623669,1.421047122,0.614317873,2.313211424,0.020711018,0.710490808,145.5901187
LOC109628005,-0.876144597,0.381017536,-2.299486283,0.021477341,0.710490808,627.8283813
LOC109630413,0.951091498,0.409049443,2.325126005,0.020065224,0.710490808,110.8638794
LOC109633415,-1.042843493,0.450874584,-2.31293475,0.020726227,0.710490808,370.1777205
LOC109633514,-0.84461604,0.367757788,-2.296663915,0.021637949,0.710490808,209.6626474
LOC109635819,4.178756205,1.816206196,2.300815961,0.021402036,0.710490808,2515.018459
LOC109636431,-0.876344315,0.38251517,-2.291005389,0.021963102,0.710490808,185.2763616
LOC109636741,-1.408120634,0.61364285,-2.29469085,0.021750848,0.710490808,480.4422731
LOC109639071,1.031841832,0.449796599,2.294018751,0.021789422,0.710490808,98.42590015
LOC109639740,1.707469443,0.74447728,2.293514508,0.021818401,0.710490808,688.7270453
LOC109643154,0.884520813,0.382119965,2.314772565,0.020625382,0.710490808,225.9622461
LOC109646439,1.188045165,0.512499265,2.31814023,0.020441701,0.710490808,435.0921048
ahsa1,3.416553752,1.480967362,2.306974373,0.021056249,0.710490808,1198.367038
arhgap31,0.861534815,0.372949719,2.310056214,0.020885042,0.710490808,134.0892742
cir1,-0.90129519,0.391780142,-2.300512697,0.021419191,0.710490808,164.7584893
ddx27,-0.698217458,0.304941259,-2.289678546,0.022039958,0.710490808,187.9388545
dnajc25,1.440417184,0.619413137,2.32545469,0.02004766,0.710490808,368.5095816
hspa13,1.221342788,0.532517839,2.293524647,0.021817818,0.710490808,265.9723873
ippk,1.181794363,0.511809622,2.309050697,0.020940768,0.710490808,80.55445966
jag1,-1.160286283,0.501921297,-2.311689681,0.02079479,0.710490808,222.6467245
