NAME,rank
DDX27,-1.71048428667273
AHSA1,1.70810936566084
SMPD1,1.70103354547949
NUAK1,1.69190347631162
SPRTN,1.68794825682043
SRM,1.68609396883465
FANCF,-1.6808348219604
SMAD7,1.66588265102286
ISCA2,1.66434478468101
SF1,-1.67020099777187
HSPBP1,1.66532061007734
MFSD13A,1.66031868699108
CYSTM1,1.65640059533877
USP39,-1.65527142846842
SOD3,1.65292096014339
JUNB,1.6511396628772
CFAP65,-1.64996716725207
INTS6,1.63937347032988
PLOD3,1.63826779788382
ADAL,-1.63675465354881
IVNS1ABP,1.63299532702646
SIRT1,1.62634450184662
FOSL2,1.62622003266564
SHMT2,-1.63155467843352
PHLDA2,1.62680543052134
FAM13B,1.61892412385112
KIF5B,1.61965493143424
KIF1B,1.6159694087823
