NAME,rank
SMAD6,1.74410803287935
PFKFB3,1.73680955044106
TRAF6,1.73501560321727
FANCF,-1.72859020064085
JUNB,1.70541086819407
EVPL,1.71113078145403
SRM,1.71215662504506
DDX27,-1.70613481035006
SMARCAD1,-1.69655974286903
WNT16,1.69386833276252
AHSA1,1.69164434135061
KIAA0513,1.69033005136618
SRRM1,-1.68441724249422
HSPBP1,1.68262452235678
HNF4A,-1.67751097354822
USP39,-1.67562963844437
FAM13B,1.65934799973147
AASDH,-1.6607382323582
CUNH11ORF57,1.66209595828007
PPARG,-1.66143550832443
SERPINE1,1.66020080959268
NLN,-1.65481137279394
RHEB,1.64949341962799
FAM134C,-1.65130150571119
IVNS1ABP,1.65010655521585
SF1,-1.64971907790248
MFSD13A,1.65030359985309
DUS3L,-1.63675013481535
